linha;serie;clube_id;jogador_chave;clube;clube_curto;jogador;posicao;setor;forca;idade;valor_brl;pe;numero;nacionalidade;moral;energia;homonimo;no_patch;salario_semanal
1;A;679;679|alinelima;Furacão do Sul;Furacão do Sul;Aline Lima;CA;ATT;81;28;74490000;R;9;Brasil;70;100;;editado;458000
2;A;679;679|beatrizbarbosa;Furacão do Sul;Furacão do Sul;Beatriz Barbosa;PD;ATT;78;19;53840000;L;48;Brasil;70;100;;editado;380000
3;A;679;679|amandabezerra;Furacão do Sul;Furacão do Sul;Amanda Bezerra;LAE;DEF;78;33;45990000;L;37;Brasil;70;100;;editado;380000
4;A;679;679|kellyfreitas;Furacão do Sul;Furacão do Sul;Kelly Freitas;MC;MID;76;26;54980000;R;27;Brasil;70;100;;editado;340000
5;A;679;679|larissamelo;Furacão do Sul;Furacão do Sul;Larissa Melo;MEI;MID;76;28;53480000;L;53;Brasil;70;100;;editado;340000
6;A;679;679|vanessabarbosa;Furacão do Sul;Furacão do Sul;Vanessa Barbosa;MEI;MID;75;34;35960000;R;10;Brasil;70;100;;editado;320000
7;A;679;679|vitoriacavalcanti;Furacão do Sul;Furacão do Sul;Vitória Cavalcanti;LAD;DEF;74;21;43650000;R;29;Brasil;70;100;;editado;300000
8;A;679;679|raquelvieira;Furacão do Sul;Furacão do Sul;Raquel Vieira;ZAG;DEF;73;31;37310000;L;4;Brasil;70;100;;editado;280000
9;A;679;679|sandrapereira;Furacão do Sul;Furacão do Sul;Sandra Pereira;MEI;MID;73;23;42190000;B;47;Brasil;70;100;;editado;280000
10;A;679;679|talitacardoso;Furacão do Sul;Furacão do Sul;Talita Cardoso;LAE;DEF;71;25;37100000;L;6;Brasil;70;100;;editado;240000
11;A;679;679|sandraandrade;Furacão do Sul;Furacão do Sul;Sandra Andrade;LAD;DEF;70;21;31180000;R;12;Brasil;70;100;;editado;220000
12;A;679;679|jessicafarias;Furacão do Sul;Furacão do Sul;Jéssica Farias;MC;MID;70;32;27120000;R;8;Brasil;70;100;;editado;220000
13;A;679;679|gislainemoreira;Furacão do Sul;Furacão do Sul;Gislaine Moreira;CA;ATT;70;34;23980000;R;7;Brasil;70;100;;editado;220000
