linha;serie;clube_id;jogador_chave;clube;clube_curto;jogador;posicao;setor;forca;idade;valor_brl;pe;numero;nacionalidade;moral;energia;homonimo;no_patch;salario_semanal
1;A;679;679|kevinviveros;Furacão do Sul;Furacão do Sul;Raimundo Lima;CA;ATT;81;28;74490000;R;9;Brasil;70;100;;editado;458000
2;A;679;679|bruninho;Furacão do Sul;Furacão do Sul;Lucas Barbosa;PD;ATT;78;19;53840000;L;48;Brasil;70;100;;editado;380000
3;A;679;679|lucasesquivel;Furacão do Sul;Furacão do Sul;Leandro Bezerra;LAE;DEF;78;33;45990000;L;37;Brasil;70;100;;editado;380000
4;A;679;679|juanportilla;Furacão do Sul;Furacão do Sul;Samuel Freitas;MC;MID;76;26;54980000;R;27;Brasil;70;100;;editado;340000
5;A;679;679|dudu;Furacão do Sul;Furacão do Sul;Matheus Melo;MEI;MID;76;28;53480000;L;53;Brasil;70;100;;editado;340000
6;A;679;679|brunozapelli;Furacão do Sul;Furacão do Sul;Vitor Barbosa;MEI;MID;75;34;35960000;R;10;Brasil;70;100;;editado;320000
7;A;679;679|gastonbenavidez;Furacão do Sul;Furacão do Sul;Gustavo Cavalcanti;LAD;DEF;74;21;43650000;R;29;Brasil;70;100;;editado;300000
8;A;679;679|arthurdias;Furacão do Sul;Furacão do Sul;Yuri Vieira;ZAG;DEF;73;31;37310000;L;4;Brasil;70;100;;editado;280000
9;A;679;679|chiqueti;Furacão do Sul;Furacão do Sul;José Pereira;MEI;MID;73;23;42190000;B;47;Brasil;70;100;;editado;280000
10;A;679;679|leoderik;Furacão do Sul;Furacão do Sul;Hugo Cardoso;LAE;DEF;71;25;37100000;L;6;Brasil;70;100;;editado;240000
11;A;679;679|gilberto;Furacão do Sul;Furacão do Sul;José Andrade;LAD;DEF;70;21;31180000;R;12;Brasil;70;100;;editado;220000
12;A;679;679|joaocruz;Furacão do Sul;Furacão do Sul;Paulo Farias;MC;MID;70;32;27120000;R;8;Brasil;70;100;;editado;220000
13;A;679;679|jorgerivaldo;Furacão do Sul;Furacão do Sul;Nathan Moreira;CA;ATT;70;34;23980000;R;7;Brasil;70;100;;editado;220000
14;A;679;679|mycael;Furacão do Sul;Furacão do Sul;Júlio Ferreira;GOL;GK;70;20;30550000;L;1;Brasil;70;100;;editado;220000
15;A;679;679|carlosteran;Furacão do Sul;Furacão do Sul;Fábio Monteiro;ZAG;DEF;70;33;25550000;R;22;Brasil;70;100;;editado;220000
16;A;679;679|gilbertojunior;Furacão do Sul;Furacão do Sul;Vitor Pinto;LAD;DEF;70;26;34360000;R;2;Brasil;70;100;;editado;220000
17;A;679;679|renanpeixoto;Furacão do Sul;Furacão do Sul;José Dias;CA;ATT;68;32;24490000;R;70;Brasil;70;100;;editado;202000
18;A;679;679|juanfelipeaguirre;Furacão do Sul;Furacão do Sul;Wesley Araújo;ZAG;DEF;68;27;31600000;R;33;Brasil;70;100;;editado;202000
19;A;679;679|isaac;Furacão do Sul;Furacão do Sul;Igor Moreira;PE;ATT;66;29;25660000;R;11;Brasil;70;100;;editado;184000
20;A;679;679|leo;Furacão do Sul;Furacão do Sul;Samuel Nascimento;ZAG;DEF;66;22;25640000;L;3;Brasil;70;100;;editado;184000
21;A;679;679|jadson;Furacão do Sul;Furacão do Sul;Alex Lima;MC;MID;65;25;25540000;R;16;Brasil;70;100;;editado;175000
22;A;679;679|felipinho;Furacão do Sul;Furacão do Sul;Adriano Ribeiro;MC;MID;65;20;23130000;L;5;Brasil;70;100;;editado;175000
23;A;679;679|leozinho;Furacão do Sul;Furacão do Sul;Lucas Carvalho;PD;ATT;63;32;17900000;L;21;Brasil;70;100;;editado;157000
24;A;679;679|alejandrogarcia;Furacão do Sul;Furacão do Sul;Antônio Carvalho;MC;MID;63;21;20580000;R;17;Brasil;70;100;;editado;157000
25;A;679;679|eduardo;Furacão do Sul;Furacão do Sul;Samuel Xavier;LAD;DEF;63;28;22060000;R;30;Brasil;70;100;;editado;157000
26;A;679;679|stivenmendoza;Furacão do Sul;Furacão do Sul;Tiago Rocha;PE;ATT;61;33;14380000;L;7;Brasil;70;100;;editado;139000
27;A;679;679|hayenpalacios;Furacão do Sul;Furacão do Sul;Thiago Rodrigues;LAD;DEF;60;34;12330000;R;37;Brasil;70;100;;editado;130000
28;A;679;679|romeobenitez;Furacão do Sul;Furacão do Sul;Douglas Guimarães;PE;ATT;60;21;16040000;R;33;Brasil;70;100;;editado;130000
29;A;679;679|santos;Furacão do Sul;Furacão do Sul;Vagner Batista;GOL;GK;59;22;15550000;R;23;Brasil;70;100;;editado;124800
30;A;679;679|danielaguilar;Furacão do Sul;Furacão do Sul;Paulo Pereira;PE;ATT;57;21;13630000;L;8;Brasil;70;100;;editado;114400
31;A;330;330|renanlodi;Alvinegro Mineiro;Alvinegro Mineiro;Kaique Araújo;LAE;DEF;81;28;74490000;L;16;Brasil;70;100;;editado;458000
32;A;330;330|mateocassierra;Alvinegro Mineiro;Alvinegro Mineiro;Adriano Nascimento;CA;ATT;79;20;58040000;R;9;Brasil;70;100;;editado;400000
33;A;330;330|victorhugo;Alvinegro Mineiro;Alvinegro Mineiro;Francisco Correia;MC;MID;78;24;59560000;L;30;Brasil;70;100;;editado;380000
34;A;330;330|tomascuello;Alvinegro Mineiro;Alvinegro Mineiro;Alex Monteiro;PE;ATT;77;33;43440000;R;28;Brasil;70;100;;editado;360000
35;A;330;330|alexsander;Alvinegro Mineiro;Alvinegro Mineiro;Dola;VOL;MID;77;27;59500000;L;5;Brasil;70;100;;editado;360000
36;A;330;330|natanael;Alvinegro Mineiro;Alvinegro Mineiro;Otávio Costa;LAD;DEF;75;32;40690000;R;2;Brasil;70;100;;editado;320000
37;A;330;330|gustavoscarpa;Alvinegro Mineiro;Alvinegro Mineiro;Júlio Silva;MEI;MID;75;24;49640000;L;10;Brasil;70;100;;editado;320000
38;A;330;330|alanfranco;Alvinegro Mineiro;Alvinegro Mineiro;Kaique Gomes;MC;MID;75;23;48680000;R;21;Brasil;70;100;;editado;320000
39;A;330;330|lyanco;Alvinegro Mineiro;Alvinegro Mineiro;Wesinho;ZAG;DEF;75;27;52500000;R;13;Brasil;70;100;;editado;320000
40;A;330;330|ruan;Alvinegro Mineiro;Alvinegro Mineiro;João Melo;ZAG;DEF;75;24;49640000;R;4;Brasil;70;100;;editado;320000
41;A;330;330|angelopreciado;Alvinegro Mineiro;Alvinegro Mineiro;Robson Araújo;LAD;DEF;74;30;42380000;R;23;Brasil;70;100;;editado;300000
42;A;330;330|alanminda;Alvinegro Mineiro;Alvinegro Mineiro;Otávio Carvalho;PD;ATT;73;33;33220000;R;27;Brasil;70;100;;editado;280000
43;A;330;330|tomasperez;Alvinegro Mineiro;Alvinegro Mineiro;Maicon Machado;VOL;MID;73;24;43020000;R;25;Brasil;70;100;;editado;280000
44;A;330;330|leoduarte;Alvinegro Mineiro;Alvinegro Mineiro;Felipe Dias;ZAG;DEF;71;32;29840000;R;15;Brasil;70;100;;editado;240000
45;A;330;330|igorgomes;Alvinegro Mineiro;Alvinegro Mineiro;Robinho Andrade;MEI;MID;71;19;32900000;R;17;Brasil;70;100;;editado;240000
46;A;330;330|reinier;Alvinegro Mineiro;Alvinegro Mineiro;Rafael Melo;MEI;MID;70;28;33420000;R;19;Brasil;70;100;;editado;220000
47;A;330;330|maycon;Alvinegro Mineiro;Alvinegro Mineiro;Júlio Machado;MC;MID;70;31;28700000;L;8;Brasil;70;100;;editado;220000
48;A;330;330|ivanroman;Alvinegro Mineiro;Alvinegro Mineiro;Cícero Almeida;ZAG;DEF;68;29;28760000;R;3;Brasil;70;100;;editado;202000
49;A;330;330|junioralonso;Alvinegro Mineiro;Alvinegro Mineiro;Paulo Costa;ZAG;DEF;68;31;25910000;L;6;Brasil;70;100;;editado;202000
50;A;330;330|patrick;Alvinegro Mineiro;Alvinegro Mineiro;Nathan Silva;VOL;MID;68;31;25910000;L;20;Brasil;70;100;;editado;202000
51;A;330;330|mamadycisse;Alvinegro Mineiro;Alvinegro Mineiro;Vinícius Cavalcanti;MC;MID;65;22;24090000;R;39;Brasil;70;100;;editado;175000
52;A;330;330|everson;Alvinegro Mineiro;Alvinegro Mineiro;Marcos Santos;GOL;GK;64;23;23000000;R;22;Brasil;70;100;;editado;166000
53;A;330;330|dudu;Alvinegro Mineiro;Alvinegro Mineiro;Valdir Araújo;PE;ATT;63;28;22060000;R;92;Brasil;70;100;;editado;157000
54;A;330;330|bernard;Alvinegro Mineiro;Alvinegro Mineiro;Robson Ferreira;PE;ATT;61;31;16150000;R;11;Brasil;70;100;;editado;139000
55;A;330;330|pedrocobra;Alvinegro Mineiro;Alvinegro Mineiro;Jean Lima;GOL;GK;61;26;19340000;R;46;Brasil;70;100;;editado;139000
56;A;330;330|cauasoares;Alvinegro Mineiro;Alvinegro Mineiro;Francisco Cavalcanti;SA;ATT;60;19;15380000;R;29;Brasil;70;100;;editado;130000
57;A;330;330|vitorhugo;Alvinegro Mineiro;Alvinegro Mineiro;Alan Ribeiro;ZAG;DEF;60;30;15570000;L;14;Brasil;70;100;;editado;130000
58;A;330;330|kauapascini;Alvinegro Mineiro;Alvinegro Mineiro;Samuel Santos;LAE;DEF;60;25;17350000;L;36;Brasil;70;100;;editado;130000
59;A;330;330|romulo;Alvinegro Mineiro;Alvinegro Mineiro;Wagner Vieira;ZAG;DEF;59;28;16330000;R;34;Brasil;70;100;;editado;124800
60;A;330;330|vitao;Alvinegro Mineiro;Alvinegro Mineiro;Douglas Lima;ZAG;DEF;57;26;15020000;R;40;Brasil;70;100;;editado;114400
61;A;10010;10010|lucianojuba;Tricolor Baiano;Tricolor Baiano;Wesley Machado;LAE;DEF;83;31;77080000;L;46;Brasil;70;100;;editado;534000
62;A;10010;10010|jeanlucas;Tricolor Baiano;Tricolor Baiano;Lucas Pinto;MC;MID;83;19;80330000;R;6;Brasil;70;100;;editado;534000
63;A;10010;10010|santiagoramosmingo;Tricolor Baiano;Tricolor Baiano;Wallace Monteiro;ZAG;DEF;82;21;76620000;L;21;Brasil;70;100;;editado;496000
64;A;10010;10010|erickpulga;Tricolor Baiano;Tricolor Baiano;Paulo Barbosa;PE;ATT;81;34;53430000;R;16;Brasil;70;100;;editado;458000
65;A;10010;10010|ruanpablo;Tricolor Baiano;Tricolor Baiano;Eduardo Silva;PE;ATT;79;19;56830000;B;52;Brasil;70;100;;editado;400000
66;A;10010;10010|caioalexandre;Tricolor Baiano;Tricolor Baiano;Júlio Barbosa;VOL;MID;78;28;60160000;R;8;Brasil;70;100;;editado;380000
67;A;10010;10010|rodrigonestor;Tricolor Baiano;Tricolor Baiano;Leonardo Guimarães;MC;MID;78;26;61850000;L;11;Brasil;70;100;;editado;380000
68;A;10010;10010|nicolasacevedo;Tricolor Baiano;Tricolor Baiano;Tiago Vieira;VOL;MID;77;23;55170000;R;26;Brasil;70;100;;editado;360000
69;A;10010;10010|cristianolivera;Tricolor Baiano;Tricolor Baiano;Samuel Vieira;PD;ATT;76;23;51930000;R;99;Brasil;70;100;;editado;340000
70;A;10010;10010|dell;Tricolor Baiano;Tricolor Baiano;Júlio Batista;CA;ATT;75;34;35960000;R;89;Brasil;70;100;;editado;320000
71;A;10010;10010|alejoveliz;Tricolor Baiano;Tricolor Baiano;Otávio Melo;CA;ATT;75;27;52500000;R;9;Brasil;70;100;;editado;320000
72;A;10010;10010|erick;Tricolor Baiano;Tricolor Baiano;Marcos Tavares;VOL;MID;75;23;48680000;R;14;Brasil;70;100;;editado;320000
